Iteration,film = A_Probability,film = B_Probability,film = C_Probability
0,0.3333333333333333,0.3333333333333333,0.3333333333333333
1,0.34,0.33,0.33
2,0.3366,0.3367,0.3267
3,0.3366,0.3367,0.3267
4,0.33323400000000003,0.343333,0.32343299999999997
5,0.33323400000000003,0.343333,0.32343299999999997
6,0.33990166000000005,0.33989967,0.32019866999999996
7,0.33990166000000005,0.33989967,0.32019866999999996
8,0.33990166000000005,0.33989967,0.32019866999999996
9,0.3365026434,0.3465006733,0.31699668329999997
10,0.34313761696600004,0.343035666567,0.31382671646699994
11,0.34970624079634005,0.33960530990133003,0.31068844930232997
12,0.3562091783883766,0.3362092568023167,0.30758156480930665
13,0.3562091783883766,0.3362092568023167,0.30758156480930665
14,0.35264708660449284,0.34284716423429357,0.3045057491612136
15,0.35264708660449284,0.34284716423429357,0.3045057491612136
16,0.35264708660449284,0.34284716423429357,0.3045057491612136
17,0.3591206157384479,0.3394186925919506,0.30146069166960143
18,0.3591206157384479,0.3394186925919506,0.30146069166960143
19,0.35552940958106344,0.3460245056660311,0.2984460847529054
20,0.3619741154852529,0.34256426060937084,0.2954616239053764
21,0.35835437433040035,0.3491386180032771,0.29250700766632265
22,0.36477083058709636,0.34564723182324436,0.28958193758965944
23,0.37112312228122535,0.3421907595050119,0.2866861182137628
24,0.3674118910584131,0.34876885190996176,0.28381925703162514
25,0.3674118910584131,0.34876885190996176,0.28381925703162514
26,0.3674118910584131,0.34876885190996176,0.28381925703162514
27,0.363737772147829,0.35528116339086213,0.2809810644613089
28,0.363737772147829,0.35528116339086213,0.2809810644613089
29,0.363737772147829,0.35528116339086213,0.2809810644613089
30,0.3701003944263507,0.3517283517569535,0.2781712538166958
31,0.37639939048208715,0.34821106823938397,0.2753895412785288
32,0.3726353965772663,0.35472895755699013,0.2726356458657435
33,0.3789090426114936,0.35118166798142025,0.2699092894070861
34,0.3789090426114936,0.35118166798142025,0.2699092894070861
35,0.38511995218537876,0.3476698513016061,0.26721019651301525
36,0.38126875266352495,0.35419315278859004,0.2645380945478851
37,0.38126875266352495,0.35419315278859004,0.2645380945478851
