Iteration,film = A_TimesChosen,film = B_TimesChosen,film = C_TimesChosen
395,169,116,111
396,170,116,111
397,171,116,111
398,171,117,111
399,171,118,111
400,172,118,111
401,172,118,112
402,172,119,112
403,172,120,112
404,172,120,113
405,173,120,113
406,173,120,114
407,174,120,114
408,175,120,114
409,176,120,114
410,177,120,114
411,177,121,114
412,177,122,114
413,177,123,114
414,177,124,114
415,178,124,114
416,179,124,114
417,180,124,114
418,180,125,114
419,181,125,114
420,182,125,114
421,182,125,115
422,182,126,115
423,182,126,116
424,183,126,116
425,183,126,117
426,183,126,118
427,184,126,118
428,185,126,118
429,185,126,119
430,186,126,119
431,186,127,119
432,186,127,120
433,187,127,120
434,187,128,120
435,187,129,120
436,187,129,121
437,187,129,122
438,187,129,123
439,187,130,123
440,188,130,123
441,189,130,123
442,189,130,124
443,190,130,124
444,191,130,124
445,191,131,124
446,192,131,124
447,192,132,124
448,192,133,124
449,192,134,124
450,193,134,124
451,194,134,124
452,194,135,124
453,195,135,124
454,196,135,124
455,197,135,124
456,197,136,124
457,197,136,125
458,198,136,125
459,199,136,125
460,200,136,125
461,201,136,125
462,202,136,125
463,203,136,125
464,203,136,126
465,203,136,127
466,203,136,128
467,204,136,128
468,205,136,128
469,205,137,128
470,205,137,129
471,205,138,129
472,206,138,129
473,206,139,129
474,207,139,129
475,207,140,129
476,208,140,129
477,209,140,129
478,210,140,129
479,210,140,130
480,210,141,130
481,211,141,130
482,212,141,130
483,212,142,130
484,213,142,130
485,213,142,131
486,213,142,132
487,214,142,132
488,214,142,133
489,214,142,134
490,214,143,134
491,215,143,134
492,215,143,135
493,216,143,135
494,217,143,135
495,218,143,135
496,218,143,136
497,218,144,136
498,218,144,137
499,219,144,137
500,219,145,137
501,220,145,137
502,221,145,137
503,221,145,138
504,222,145,138
505,222,146,138
506,223,146,138
507,224,146,138
508,224,147,138
509,225,147,138
510,225,147,139
511,225,147,140
512,225,148,140
513,225,149,140
514,225,150,140
515,225,150,141
516,225,151,141
517,225,152,141
518,225,152,142
519,226,152,142
520,227,152,142
521,227,153,142
522,227,153,143
523,227,153,144
524,228,153,144
525,229,153,144
526,230,153,144
527,230,154,144
528,230,154,145
529,230,155,145
530,230,156,145
531,231,156,145
532,232,156,145
533,233,156,145
534,233,156,146
535,234,156,146
536,234,156,147
537,234,156,148
538,234,157,148
539,235,157,148
540,236,157,148
541,237,157,148
542,238,157,148
543,238,157,149
544,239,157,149
545,239,157,150
546,240,157,150
547,241,157,150
548,241,158,150
549,242,158,150
550,243,158,150
551,244,158,150
552,245,158,150
553,245,159,150
554,245,160,150
555,245,161,150
556,245,161,151
557,245,161,152
558,245,162,152
559,246,162,152
560,246,163,152
561,246,164,152
562,247,164,152
563,247,165,152
564,248,165,152
565,249,165,152
566,250,165,152
567,250,165,153
568,250,165,154
569,250,165,155
570,251,165,155
571,252,165,155
572,252,165,156
573,252,165,157
574,253,165,157
575,253,166,157
576,253,166,158
577,254,166,158
578,254,167,158
579,255,167,158
580,255,167,159
581,256,167,159
582,257,167,159
583,257,167,160
584,257,167,161
585,257,167,162
586,257,167,163
587,258,167,163
588,259,167,163
589,260,167,163
590,261,167,163
591,262,167,163
592,262,167,164
593,262,167,165
594,263,167,165
595,264,167,165
596,264,167,166
597,264,167,167
598,265,167,167
599,265,167,168
600,265,167,169
601,265,167,170
602,265,167,171
603,266,167,171
604,267,167,171
605,268,167,171
606,269,167,171
607,269,168,171
608,269,168,172
609,269,169,172
610,270,169,172
611,271,169,172
612,271,170,172
613,271,171,172
614,272,171,172
615,272,172,172
616,273,172,172
617,274,172,172
